Destination,Origin,2015 Combined,2020 Combined,2015 Males,2020 Males,2015 Females,2020 Females
Cameroon,Angola,2555,2976,1125,1313,1430,1663
Cameroon,Canada,178,207,83,98,95,109
Cameroon,Central African Republic,271319,303005,137017,152849,134302,150156
Cameroon,Chad,33968,27852,17974,14739,15994,13113
Cameroon,Congo,2953,3439,1339,1561,1614,1878
Cameroon,Democratic Republic of the Congo,4078,4750,1960,2285,2118,2465
Cameroon,Benin,2400,2795,1250,1458,1150,1337
Cameroon,Equatorial Guinea,3357,3911,1441,1682,1916,2229
Cameroon,France,4615,5376,2260,2636,2355,2740
Cameroon,Gabon,1055,1228,487,569,568,659
Cameroon,Germany,294,340,137,158,157,182
Cameroon,Greece,191,220,121,140,70,80
Cameroon,Guinea,4577,5331,2007,2340,2570,2991
Cameroon,Italy,508,590,273,318,235,272
Cameroon,Liberia,4255,4956,1843,2150,2412,2806
Cameroon,Mali,8202,9556,5516,6430,2686,3126
Cameroon,Netherlands,159,184,89,104,70,80
Cameroon,Niger,10503,12236,6577,7666,3926,4570
Cameroon,Nigeria,131616,169602,59156,76219,72460,93383
Cameroon,Senegal,3153,3673,2494,2907,659,766
Cameroon,United Kingdom,255,295,139,162,116,133
Cameroon,United States of America,819,952,383,446,436,506
Cameroon,Other,17336,15735,7640,8024,9696,7711
Central African Republic,Micronesia,0,0,0,0,0,0
Central African Republic,Australia,10,10,5,6,5,4
Central African Republic,Austria,21,22,14,16,7,6
Central African Republic,Canada,186,195,94,97,92,98
Central African Republic,Chad,10026,10608,5592,5864,4434,4744
Central African Republic,Democratic Republic of the Congo,17213,18212,8128,8489,9085,9723
Central African Republic,Cyprus,7,6,3,3,4,3
Central African Republic,Denmark,2,1,0,0,2,1
Central African Republic,France,9580,10135,4918,5147,4662,4988
Central African Republic,Ireland,10,10,4,5,6,5
Central African Republic,Italy,66,70,39,42,27,28
Central African Republic,Mali,301,317,161,168,140,149
Central African Republic,Netherlands,33,34,17,18,16,16
Central African Republic,Russian Federation,136,143,74,77,62,66
Central African Republic,Sao Tome and Principe,73,77,34,37,39,40
Central African Republic,Slovenia,43,44,24,24,19,20
Central African Republic,South Africa,52,53,40,41,12,12
Central African Republic,South Sudan,0,2236,0,1171,0,1065
Central African Republic,Sudan,19539,20695,10476,10974,9063,9721
Central African Republic,Sweden,12,12,6,7,6,5
Central African Republic,Switzerland,145,153,68,72,77,81
Central African Republic,Togo,9,8,5,5,4,3
Central African Republic,Turkey,7,6,2,2,5,4
Central African Republic,Egypt,38,39,17,17,21,22
Central African Republic,United States of America,548,579,475,502,73,77
Central African Republic,Other,23511,24881,12951,13573,10560,11308
Chad,Micronesia,0,0,0,0,0,0
Chad,Cameroon,30702,35635,13908,15927,16794,19708
Chad,Central African Republic,87583,101662,41143,47159,46440,54503
Chad,Congo,846,980,389,446,457,534
Chad,Democratic Republic of the Congo,304,351,140,160,164,191
Chad,France,1048,1216,482,553,566,663
Chad,Gabon,347,401,160,183,187,218
Chad,Libya,1297,1504,597,685,700,819
Chad,Niger,3092,3586,1424,1630,1668,1956
Chad,Nigeria,6531,13033,3008,5927,3523,7106
Chad,Sudan,320988,372594,146304,167570,174684,205024
Chad,Other,14230,16532,8085,9308,6145,7224
Congo,Micronesia,0,0,0,0,0,0
Congo,Angola,41238,40969,21453,21206,19785,19763
Congo,Cameroon,11300,11225,6727,6658,4573,4567
Congo,Central African Republic,32696,32481,16302,16105,16394,16376
Congo,Chad,10565,10494,6926,6860,3639,3634
Congo,China,924,917,852,846,72,71
Congo,Democratic Republic of the Congo,170368,169268,87000,85974,83368,83294
Congo,Cuba,536,531,167,164,369,367
Congo,Benin,15194,15094,8006,7915,7188,7179
Congo,Equatorial Guinea,1582,1570,861,851,721,719
Congo,France,10320,10251,5643,5580,4677,4671
Congo,Gabon,3163,3141,1544,1525,1619,1616
Congo,Germany,579,574,269,266,310,308
Congo,Lebanon,1167,1158,726,719,441,439
Congo,Mali,33918,33696,22703,22494,11215,11202
Congo,Mauritania,3149,3127,2426,2406,723,721
Congo,Portugal,1441,1431,833,824,608,607
Congo,Russian Federation,2576,2558,1018,1003,1558,1555
Congo,Rwanda,25119,24955,14246,14095,10873,10860
Congo,Senegal,13265,13178,10159,10077,3106,3101
Congo,Togo,2437,2419,1127,1111,1310,1308
Congo,United States of America,166,164,99,98,67,66
Congo,Other,8439,8405,4677,4626,3762,3779
Democratic Republic of the Congo,Micronesia,0,0,0,0,0,0
Democratic Republic of the Congo,Angola,181954,177028,92911,88955,89043,88073
Democratic Republic of the Congo,Burundi,38377,59145,16015,25896,22362,33249
Democratic Republic of the Congo,Central African Republic,253402,323269,132871,165120,120531,158149
Democratic Republic of the Congo,Congo,6431,6242,1163,1045,5268,5197
Democratic Republic of the Congo,Rwanda,275136,251333,136928,125262,138208,126071
Democratic Republic of the Congo,South Sudan,8596,90971,2317,41886,6279,49085
Democratic Republic of the Congo,Sudan,5523,5370,678,581,4845,4789
Democratic Republic of the Congo,Uganda,6115,5950,1114,1003,5001,4947
Democratic Republic of the Congo,Other,34484,33563,9969,9304,24515,24259
Equatorial Guinea,Micronesia,0,0,0,0,0,0
Equatorial Guinea,Cameroon,798,957,535,643,263,314
Equatorial Guinea,France,4561,5482,2121,2550,2440,2932
Equatorial Guinea,Gabon,256,307,146,175,110,132
Equatorial Guinea,Nigeria,359,430,195,234,164,196
Equatorial Guinea,Sao Tome and Principe,1493,1794,915,1101,578,693
Equatorial Guinea,Spain,1279,1536,765,920,514,616
Equatorial Guinea,Other,200865,220112,156850,172093,44015,48019
Gabon,Micronesia,0,0,0,0,0,0
Gabon,Algeria,100,108,65,72,35,36
Gabon,Angola,1011,1111,667,734,344,377
Gabon,Belgium,457,501,285,314,172,187
Gabon,Burundi,153,166,102,113,51,53
Gabon,Cameroon,46269,50906,26905,29575,19364,21331
Gabon,Canada,266,291,165,181,101,110
Gabon,Chad,4132,4543,2764,3038,1368,1505
Gabon,China,316,344,240,262,76,82
Gabon,Congo,14905,16396,8267,9085,6638,7311
Gabon,Democratic Republic of the Congo,8135,8949,5019,5518,3116,3431
Gabon,Benin,47682,52460,28069,30855,19613,21605
Gabon,Equatorial Guinea,79434,87411,45939,50494,33495,36917
Gabon,France,14678,16146,9373,10303,5305,5843
Gabon,Germany,80,86,51,56,29,30
Gabon,Ghana,5811,6392,5099,5609,712,783
Gabon,Guinea,4546,4999,3558,3913,988,1086
Gabon,Israel,15,14,11,11,4,3
Gabon,Côte d'Ivoire,3099,3408,2167,2382,932,1026
Gabon,Japan,29,29,18,19,11,10
Gabon,Dem. People's Republic of Korea,146,158,96,106,50,52
Gabon,Republic of Korea,177,193,120,131,57,62
Gabon,Lebanon,2284,2511,1705,1875,579,636
Gabon,Mali,50384,55434,35336,38858,15048,16576
Gabon,Morocco,653,717,377,415,276,302
Gabon,Nigeria,21840,24029,16850,18534,4990,5495
Gabon,Rwanda,191,209,112,124,79,85
Gabon,Sao Tome and Principe,5944,6539,3315,3645,2629,2894
Gabon,Senegal,27861,30652,23140,25454,4721,5198
Gabon,South Africa,12,11,12,11,0,0
Gabon,Syrian Arab Republic,26,27,16,18,10,9
Gabon,Togo,21023,23129,12218,13430,8805,9699
Gabon,Tunisia,204,223,128,141,76,82
